activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
tanh,0.0001,12,60,0.27388199371573924,4.767631970010102
tanh,0.0001,2,80,0.27404393282358186,3.690970839142058
tanh,0.0001,8,10,0.2744606948947026,4.007068176204317
tanh,0.0001,3,40,0.27475280674193187,3.824436496174741
relu,0.0001,10,20,0.2748973476088588,5.014575644822912
tanh,0.0001,7,20,0.27526192932628163,4.141303483568478
tanh,0.0001,5,20,0.27572935133762966,3.854119319201863
tanh,0.0001,5,60,0.27619357824700835,4.460003355891708
tanh,0.0001,16,80,0.2776849266427247,4.852856696178746
relu,0.0001,5,20,0.27794999113997815,4.851370031785661
relu,0.0001,3,60,0.2785329811908576,3.8579813123298075
tanh,0.0001,6,80,0.2787929208824619,4.077273049755993
tanh,0.0001,9,20,0.27925564229277383,4.407491344987261
relu,0.0001,2,80,0.28015871253210317,3.950754583757259
tanh,0.0001,6,10,0.2805751582447434,3.847419492370799
relu,0.0001,15,80,0.2809067218268468,4.564325465036962
tanh,0.0001,9,60,0.2811213172826462,4.5619465684408365
tanh,0.0001,20,40,0.28142094360763326,4.4730710731664916
tanh,0.0001,10,10,0.2821265138768077,4.043174362823996
tanh,0.0001,19,80,0.2826476726823439,5.307283126427159
relu,0.0001,10,40,0.2828756501754706,5.235774620040969
tanh,0.0001,13,10,0.2830650069639085,4.1625737536928735
tanh,0.0001,4,60,0.2841079550141375,4.00035644914259
relu,0.0001,6,10,0.28413499244418416,5.019997927920351
relu,0.0001,5,60,0.2844219272717831,4.209519862273127
tanh,0.0001,11,20,0.2846521319766111,4.513747042625045
tanh,0.0001,10,20,0.28548684742929903,4.009201984095487
tanh,0.0001,13,20,0.28579291111005095,4.433620874128476
tanh,0.0001,7,10,0.2858708407346688,4.322999147388716
tanh,0.0001,12,80,0.2858990334834823,5.400786559985387
relu,0.0001,16,60,0.2862038552655616,5.970020199891462
tanh,0.0001,13,80,0.2863582095439067,4.617924095081989
tanh,0.0001,8,80,0.286460955790269,4.490425670362677
logistic,0.0001,3,40,0.2869742998401325,3.626962754311058
tanh,0.0001,6,20,0.28700245917478145,4.197280283897807
tanh,0.0001,14,40,0.2871804341849167,4.480922249651864
tanh,0.0001,10,80,0.28740770872552607,6.225973094311653
tanh,0.0001,16,40,0.28745303844574305,5.256758706574968
relu,0.0001,19,60,0.2875501503970928,4.933164839666004
logistic,0.0001,3,60,0.2876796777492028,3.654769997255669
tanh,0.0001,17,20,0.28799848418629476,4.148419634956385
relu,0.0001,1,80,0.2880561433394467,3.9942301492636396
